TEAM,TOTAL_FUNDS,FUNDS_REMAINING,OVERSEAS_PLAYERS,TOTAL_PLAYERS,Year
CSK,850000000,1500000,8,24,2020
DC,850000000,90000000,8,22,2020
KXIP,850000000,165000000,8,25,2020
KKR,850000000,85000000,8,23,2020
MI,850000000,19500000,8,24,2020
RR,850000000,147500000,8,25,2020
RCB,850000000,64000000,8,21,2020
SRH,850000000,101000000,8,25,2020
CSK,850000000,32000000,8,25,2019
DC,850000000,77000000,8,25,2019
KXIP,850000000,37000000,8,23,2019
KKR,850000000,60500000,8,21,2019
MI,850000000,35500000,8,24,2019
RR,850000000,71500000,8,25,2019
RCB,850000000,18000000,8,24,2019
SRH,850000000,53000000,8,23,2019
CSK,850000000,65000000,8,25,2018
DC,850000000,16000000,8,25,2018
KXIP,850000000,1000000,7,21,2018
KKR,850000000,0,7,19,2018
MI,850000000,6500000,8,25,2018
RR,850000000,16500000,8,23,2018
RCB,850000000,1500000,8,24,2018
SRH,850000000,6500000,8,25,2018
DC,850000000,90500000,9,26,2017
GL,850000000,105000000,8,27,2017
KXIP,850000000,139000000,9,27,2017
KKR,850000000,54000000,9,23,2017
MI,850000000,33550000,9,27,2017
RPS,850000000,3000000,8,26,2017
RCB,850000000,24250000,9,24,2017
SRH,850000000,122500000,9,25,2017
DC,850000000,61500000,9,27,2016
GL,850000000,103500000,7,24,2016
KXIP,850000000,124500000,7,22,2016
KKR,850000000,122500000,9,22,2016
MI,850000000,13050000,8,26,2016
RPSs,850000000,52000000,7,23,2016
RCB,850000000,61750000,9,25,2016
SRH,850000000,84000000,7,25,2016
CSK,850000000,7000000,9,25,2015
DC,850000000,13500000,9,25,2015
KXIP,850000000,92000000,7,22,2015
KKR,850000000,92000000,9,23,2015
MI,850000000,49050000,9,26,2015
RR,850000000,106500000,8,25,2015
RCB,850000000,20000000,9,26,2015
SRH,850000000,93500000,8,23,2015
CSK,850000000,2000000,8,20,2014
DC,850000000,0,7,23,2014
KXIP,850000000,41000000,7,23,2014
KKR,850000000,10000000,8,21,2014
MI,850000000,500000,8,21,2014
RR,850000000,55500000,8,25,2014
RCB,850000000,0,7,21,2014
SRH,850000000,10000000,7,24,2014
CSK,850000000,120000000,11,22,2013
DC,850000000,42638570,11,26,2013
KXIP,850000000,394733690,8,23,2013
KKR,850000000,98000000,11,23,2013
MI,850000000,22213035,11,28,2013
PWI,850000000,52268450,11,33,2013
RR,850000000,459634760,10,21,2013
RCB,850000000,46250000,10,31,2013
SRH,850000000,362940240,11,26,2013
