Venue_Name,City_Name,HomeGround_Team_Id,State,capacity,pavilions
M Chinnaswamy Stadium,Banglore,2,Karnataka,35000,"N,P"
"Punjab Cricket Association Stadium, Mohali",Chandigarh,4,Punjab,29000,"Media box, Pavillion terrace"
Feroz Shah Kotla,Delhi,6,Delhi,41820,"North, Old club house"
Wankhede Stadium,Mumbai,7,Maharashtra,33108,"Grand stand, Sachin Tendulkar"
Eden Gardens,Kolkata,1,West Bengal,68000,"SAMB, Club house"
Sawai Mansingh Stadium,Jaipur,5,Rajasthan,30000,"South box, corporate box"
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,11,Andhra Pradesh,55000,"North, South"
"MA Chidambaram Stadium, Chepauk",Chennai,3,Tamil Nadu,50000,"Anna, TNCA"
Dr DY Patil Sports Academy,Mumbai,7,Maharashtra,55000,Information Not Available
Brabourne Stadium,Mumbai,7,Maharashtra,20000,"North stand, Media"
"Sardar Patel Stadium, Motera",Ahmedabad,5,Gujarat,115000,"Adani, GMDC"
Barabati Stadium,Cuttack,Not Home Ground,Orissa,45000,"Pavillion, Corporate Box"
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,11,Maharashtra,45000,"North wing, south wing"
Himachal Pradesh Cricket Association Stadium,Dharamsala,4,Himachal Pradesh,23000,"HPCA, Pavillion terrace"
Nehru Stadium,Kochi,Not Home Ground,Kerala,60500,Information Not Available
Holkar Cricket Stadium,Indore,Not Home Ground,Madhya Pradesh,30000,"North, South"
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,11,Andhra Pradesh,27500,"North, South"
Subrata Roy Sahara Stadium,Pune,Not Home Ground,Maharashtra,37406,"North stand, South stand"
Shaheed Veer Narayan Singh International Stadium,Raipur,6,Chhattisgarh,65000,Information Not Available
JSCA International Stadium Complex,Ranchi,3,Jharkhand,50000,"North, South"
Maharashtra Cricket Association Stadium,Pune,Not Home Ground,Maharashtra,37406,Information Not Available
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,4,Punjab,29000,"Media box, Pavillion terrace"
Saurashtra Cricket Association Stadium,Rajkot,Not Home Ground,Gujarat,28000,"Media box, South stand"
Green Park,Kanpur,Not Home Ground,Uttar Pradesh,32000,Information Not Available
