Bat_Position,Players,Bat_Matches,Bat_Innings,Bat_Not_Outs,Bat_Runs,Bat_Highest_Score,Bat_Average,Bat_Balls_Faced,Bat_Strike_Rate,Bat_Centuries,Bat_Fifties,Bat_Fours,Bat_Sixes

1,Andre Russell,50,39,6,890,88*,26.96,502,177.29,0,4,65,68
2,Sunil Narine,98,48,12,628,75,17.44,372,168.81,0,3,76,35
3,Chris Morris,52,33,20,485,82*,37.30,291,166.66,0,2,36,25
4,Rishabh Pant,38,38,3,1248,128*,35.65,767,162.71,1,8,115,67
5,Glenn Maxwell,69,68,7,1397,95,22.90,867,161.13,0,6,109,91
6,Virender Sehwag,104,104,5,2728,122,27.55,"1,755",155.44,2,16,334,106
7,Krunal Pandya,39,33,10,708,86,30.78,460,153.91,0,1,68,30
8,Prithvi Shaw,9,9,0,245,65,27.22,160,153.12,0,2,27,10
9,AB de Villiers,141,129,29,3953,133*,39.53,"2,619",150.93,3,28,326,186
10,Chris Gayle,112,111,14,3994,175*,41.17,"2,650",150.71,6,24,324,292
11,Jos Buttler,37,37,6,1075,95*,34.67,714,150.56,0,6,102,47
12,Colin de Grandhomme,21,17,4,257,40,19.76,176,146.02,0,0,14,16
13,Kieron Pollard,132,121,33,2476,78,28.13,"1,699",145.73,0,13,167,154
14,Ashish Reddy,31,24,9,280,36*,18.66,193,145.07,0,0,16,15
15,Yusuf Pathan,164,146,39,3164,100,29.57,"2,196",144.08,1,13,261,157
16,Sanath Jayasuriya,30,29,2,748,114*,27.70,521,143.57,1,4,80,39
17,Michael Lumb,12,12,0,278,83,23.16,194,143.29,0,1,45,6
18,Daniel Smith,15,14,1,282,49,21.69,197,143.14,0,0,18,17
19,Rahul Tripathi,26,26,3,617,93,26.82,434,142.16,0,3,61,25
20,David Warner,114,114,15,4014,126,40.54,"2,824",142.13,3,36,401,160
21,Albie Morkel,91,68,28,974,73*,24.35,686,141.98,0,3,61,55
22,Hashim Amla,16,16,3,577,104*,44.38,407,141.76,2,3,60,21
23,Shane Watson,117,113,15,3177,117*,32.41,"2,250",141.20,4,16,301,157
24,Chris Lynn,28,28,3,875,93*,35.00,620,141.12,0,6,87,41
25,Vijay Shankar,18,15,9,313,63*,52.16,223,140.35,0,2,23,12
26,David Miller,69,67,21,1637,101*,35.58,"1,169",140.03,1,8,107,80
27,Lokesh Rahul,53,44,8,1384,95*,38.44,993,139.37,0,10,127,56
28,Hardik Pandya,50,46,18,666,61*,23.78,480,138.75,0,2,44,39
29,Ryan ten Doeschate,29,22,8,326,70*,23.28,235,138.72,0,1,26,15
30,Suresh Raina,176,172,27,4985,100*,34.37,"3,600",138.47,1,35,448,185
31,Evin Lewis,13,13,0,382,65,29.38,276,138.40,0,2,32,24
32,Adam Gilchrist,80,80,4,2069,109*,27.22,"1,495",138.39,2,11,239,92
33,MS Dhoni,175,158,58,4016,79*,40.16,"2,906",138.19,0,20,275,186
34,Ishan Kishan,30,27,0,594,62,22.00,431,137.81,0,3,56,30
35,Matthew Hayden,32,32,2,1107,93,36.90,805,137.51,0,8,121,44
36,Thisara Perera,37,30,8,422,40,19.18,307,137.45,0,0,23,26
37,Kane Williamson,32,32,5,1146,89,42.44,834,137.41,0,11,99,39
38,Harbhajan Singh,149,86,35,800,64,15.68,583,137.22,0,1,78,39
39,James Hopes,21,19,3,417,71,26.06,306,136.27,0,4,49,11
40,Sam Billings,21,18,0,334,56,18.55,246,135.77,0,3,31,10
41,James Faulkner,60,45,20,527,46,21.08,389,135.47,0,0,36,23
42,Kevin Pietersen,36,36,9,1001,103*,37.07,743,134.72,1,4,91,40
43,Dwayne Smith,76,75,4,2103,87*,29.61,"1,567",134.20,0,17,227,100
44,Kedar Jadhav,65,58,20,917,69,24.13,684,134.06,0,3,73,35
45,Ben Stokes,25,24,2,512,103*,23.27,382,134.03,1,1,35,21
46,Shaun Marsh,71,69,7,2477,115,39.95,"1,866",132.74,1,20,266,78
47,Suryakumar Yadav,69,56,14,1124,72,26.76,849,132.39,0,5,116,37
48,Jesse Ryder,29,29,1,604,86,21.57,458,131.87,0,4,69,19
49,Robin Uthappa,165,158,15,4086,87,28.57,"3,099",131.84,0,23,401,145
50,Deepak Hooda,50,38,8,460,54,15.33,349,131.80,0,1,22,23
51,Manan Vohra,49,45,2,1012,95,23.53,768,131.77,0,3,97,39
52,Steve Smith,69,62,16,1703,101,37.02,"1,293",131.70,1,5,150,45
53,Brendon McCullum,109,110,6,2881,158*,27.70,"2,189",131.61,2,13,293,130
54,Rohit Sharma,173,168,27,4493,109*,31.86,"3,429",131.02,1,34,379,184
55,Virat Kohli,163,155,26,4948,113,38.35,"3,784",130.76,4,34,434,178
56,Quinton de Kock,34,34,1,927,108,28.09,711,130.37,1,6,110,29
57,Aaron Finch,75,74,8,1738,88*,26.33,"1,333",130.38,0,13,176,67
58,Ambati Rayudu,130,123,20,3018,100*,29.30,"2,317",130.25,1,17,258,113
59,Paul Collingwood,8,7,2,203,75*,40.60,156,130.12,0,3,9,13
60,Owais Shah,23,22,7,506,76,33.73,389,130.07,0,4,34,23
61,Andrew Symonds,39,36,9,974,117*,36.07,750,129.86,1,5,74,41
