Position,Players,Playing Against,Venue,Match Date,Balls,Sixes,Fours,Runs

1,Chris Gayle,PWI,M. Chinnaswamy Stadium,23 April 2013,30,17,13,175
2,Yusuf Pathan,MI,Brabourne Stadium,13 March 2010,37,8,9,100
3,David Miller,RCB,IS Bindra Stadium,06 May 2013,38,7,8,101
4,Adam Gilchrist,MI,DY Patil Stadium,27 April 2008,42,10,9,109
5,AB de Villiers,GL,M. Chinnaswamy Stadium,14 May 2016,43,12,10,129
6,David Warner,KKR,Rajiv Gandhi Intl. Cricket Stadium,30 April 2017,43,8,10,126
7,Sanath Jayasuriya,CSK,Wankhede Stadium,14 May 2008,45,11,9,114
8,Murali Vijay,RR,Chidambaram,03 April 2010,46,11,8,127
9,Chris Gayle,KXIP,M. Chinnaswamy Stadium,06 May 2015,46,12,7,117
10,Chris Gayle,KXIP,M. Chinnaswamy Stadium,06 May 2011,46,9,10,107
11,AB de Villiers,MI,Wankhede Stadium,10 May 2015,47,4,19,133
12,Andrew Symonds,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,47,7,11,117
13,Virat Kohli,KXIP,M. Chinnaswamy Stadium,18 May 2016,47,8,12,113
14,Virender Sehwag,DC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011,48,6,13,119
15,Quinton de Kock,RCB,M. Chinnaswamy Stadium,17 April 2016,48,3,15,108
16,Wriddhiman Saha,KKR,M. Chinnaswamy Stadium,01 June 2014,49,8,10,115
17,Virender Sehwag,CSK,Wankhede Stadium,30 May 2014,50,8,12,122
18,Michael Hussey,KXIP,IS Bindra Stadium,19 April 2008,50,9,8,116
19,Shane Watson,SRH,Wankhede Stadium,27 May 2018,51,8,11,117
20,Murali Vijay,DD,Chidambaram,25 May 2012,51,4,15,113
21,Shane Watson,RR,Maharashtra Cricket Association's International Stadium,20 April 2018,51,6,9,106
22,AB de Villiers,CSK,Kingsmead,23 April 2009,51,6,5,105
23,Paul Valthaty,CSK,IS Bindra Stadium,13 April 2011,52,2,19,120
24,David Warner,DC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012,52,7,10,109
25,Rohit Sharma,KKR,Eden Gardens,12 May 2012,52,5,12,109
26,Brendon McCullum,RCB,M. Chinnaswamy Stadium,18 April 2008,53,13,10,158
27,Chris Gayle,DD,Feroz Shah Kotla Ground,17 May 2012,53,13,7,128
28,Virat Kohli,GL,M. Chinnaswamy Stadium,14 May 2016,53,8,5,109
29,Adam Gilchrist,RCB,HPCA Stadium,17 May 2011,53,9,8,106
30,Steve Smith,GL,Maharashtra Cricket Association's International Stadium,29 April 2016,53,5,8,101
31,Suresh Raina,KXIP,Chidambaram,02 May 2013,53,6,7,100
32,Mahela Jayawardene,KKR,Eden Gardens,04 April 2010,55,3,14,110
33,Chris Gayle,KKR,Eden Gardens,22 April 2011,55,7,10,102
34,Rishabh Pant,SRH,Feroz Shah Kotla Ground,10 May 2018,56,7,15,128
35,Virat Kohli,RPS,M. Chinnaswamy Stadium,07 May 2016,56,7,8,108
36,Brendon McCullum,SRH,Chidambaram,11 April 2015,56,9,7,100
37,Shane Watson,KKR,Brabourne Stadium,16 May 2015,57,5,9,104
38,Shaun Marsh,RR,IS Bindra Stadium,28 May 2008,58,7,11,115
39,Chris Gayle,SRH,IS Bindra Stadium,19 April 2018,58,11,1,104
40,Hashim Amla,MI,Holkar Cricket Stadium,20 April 2017,58,6,8,104
41,Ajinkya Rahane,RCB,M. Chinnaswamy Stadium,15 April 2012,58,5,12,103
42,Hashim Amla,GL,IS Bindra Stadium,07 May 2017,59,5,8,104
43,Shane Watson,CSK,Chidambaram,22 April 2013,60,6,6,101
44,Ben Stokes,GL,Maharashtra Cricket Association's International Stadium,01 May 2017,61,6,7,103
45,Lendl Simmons,KXIP,IS Bindra Stadium,21 May 2014,61,2,14,100
46,Sanju Samson,RPS,Maharashtra Cricket Association's International Stadium,11 April 2017,62,5,8,102
47,Ambati Rayudu,SRH,Maharashtra Cricket Association's International Stadium,13 May 2018,62,7,7,100
48,Virat Kohli,GL,Saurashtra Cricket Association Stadium,24 April 2016,63,1,11,100
49,Kevin Pietersen,DC,Feroz Shah Kotla Ground,19 April 2012,64,9,6,103
50,David Warner,KKR,Feroz Shah Kotla Ground,29 March 2010,66,5,9,107
51,Sachin Tendulkar,KTK,Wankhede Stadium,15 April 2011,66,3,12,100
52,Manish Pandey,DC,Supersport Park,21 May 2009,67,4,10,114
