Position,Players,Playing Against,Venue,Match Date,Balls,Sixes,Fours,Runs

1,Lokesh Rahul,DD,IS Bindra Stadium,08 April 2018,14,4,6,51
2,Yusuf Pathan,SRH,Eden Gardens,24 May 2014,15,7,5,72
3,Sunil Narine,RCB,M. Chinnaswamy Stadium,07 May 2017,15,4,6,54
4,Suresh Raina,KXIP,Wankhede Stadium,30 May 2014,16,6,12,87
5,Chris Gayle,PWI,M. Chinnaswamy Stadium,23 April 2013,17,17,13,175
6,Adam Gilchrist,DD,Supersport Park,22 May 2009,17,5,10,85
7,Chris Morris,GL,Feroz Shah Kotla Ground,27 April 2016,17,8,4,82
8,Ishan Kishan,KKR,Eden Gardens,09 May 2018,17,6,5,62
9,Kieron Pollard,KKR,Wankhede Stadium,28 April 2016,17,6,2,51
10,Sunil Narine,RCB,Eden Gardens,08 April 2018,17,5,4,50
11,Jos Buttler,DD,Feroz Shah Kotla Ground,02 May 2018,18,7,4,67
12,Chris Lynn,GL,Saurashtra Cricket Association Stadium,07 April 2017,19,8,6,93
13,Harbhajan Singh,KXIP,Wankhede Stadium,12 April 2015,19,6,5,64
14,Owais Shah,RCB,M. Chinnaswamy Stadium,15 April 2012,19,5,5,60
15,Robin Uthappa,KXIP,M. Chinnaswamy Stadium,16 March 2010,19,4,4,51
16,David Miller,RR,Sharjah Cricket Stadium,20 April 2014,19,6,0,51
17,Andre Russell,KXIP,Eden Gardens,09 May 2015,19,4,5,51
18,David Warner,KKR,Rajiv Gandhi Intl. Cricket Stadium,30 April 2017,20,8,10,126
19,Virender Sehwag,RR,Sawai Mansingh Stadium,01 May 2012,20,1,12,73
20,Kieron Pollard,SRH,Wankhede Stadium,13 May 2013,20,8,2,66
21,David Warner,CSK,Rajiv Gandhi Intl. Cricket Stadium,02 May 2015,20,1,11,61
22,Moises Henriques,RCB,Rajiv Gandhi Intl. Cricket Stadium,15 May 2015,20,4,5,57
23,MS Dhoni,MI,M. Chinnaswamy Stadium,23 May 2012,20,2,6,51
24,Virender Sehwag,CSK,Wankhede Stadium,30 May 2014,21,8,12,122
25,Yusuf Pathan,MI,Brabourne Stadium,13 March 2010,21,8,9,100
26,Glenn Maxwell,SRH,Sharjah Cricket Stadium,22 April 2014,21,9,5,95
27,Brendon McCullum,CSK,Supersport Park,18 May 2009,21,3,11,81
28,Virender Sehwag,RR,Sardar Patel Stadium,15 March 2010,21,5,8,75
29,Dwayne Smith,CSK,Feroz Shah Kotla Ground,21 May 2013,21,5,6,68
30,Kieron Pollard,CSK,Wankhede Stadium,17 April 2015,21,5,4,64
31,Yusuf Pathan,DC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,21,6,4,61
32,Shane Watson,CSK,Chidambaram,03 April 2010,21,5,5,60
33,AB de Villiers,RR,Sawai Mansingh Stadium,23 April 2012,21,5,3,59
34,David Warner,RCB,M. Chinnaswamy Stadium,12 April 2016,21,5,4,58
35,Sam Billings,KKR,Chidambaram,10 April 2018,21,5,2,56
36,Chris Lynn,RCB,M. Chinnaswamy Stadium,07 May 2017,21,4,5,50
37,Chris Gayle,KXIP,M. Chinnaswamy Stadium,06 May 2015,22,12,7,117
38,Quinton de Kock,RCB,M. Chinnaswamy Stadium,17 April 2016,22,3,15,108
39,Glenn Maxwell,CSK,Barabati Stadium,07 May 2014,22,8,6,90
40,Krunal Pandya,DD,ACA-VDCA Stadium,15 May 2016,22,6,7,86
41,Virender Sehwag,CSK,Feroz Shah Kotla Ground,19 March 2010,22,3,10,74
42,Aaron Finch,RCB,M. Chinnaswamy Stadium,27 April 2017,22,6,5,72
43,Lokesh Rahul,KKR,Holkar Cricket Stadium,12 May 2018,22,7,2,66
44,Matthew Hayden,RCB,St George's Park,20 April 2009,22,2,9,65
45,Chris Gayle,CSK,IS Bindra Stadium,15 April 2018,22,4,7,63
46,Dwayne Smith,MI,Wankhede Stadium,17 April 2015,22,4,8,62
47,Matthew Hayden,DD,Kingsmead,23 April 2009,22,3,5,57
48,Ross Taylor,RCB,Feroz Shah Kotla Ground,17 May 2012,22,2,7,55
49,Deepak Hooda,DD,Feroz Shah Kotla Ground,12 April 2015,22,4,3,54
50,Wriddhiman Saha,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014,22,2,8,54
51,Faf du Plessis,KXIP,Barabati Stadium,07 May 2014,22,1,7,52
52,MS Dhoni,DD,Maharashtra Cricket Association's International Stadium,30 April 2018,22,5,2,51
53,Kieron Pollard,KXIP,Wankhede Stadium,16 May 2018,22,3,5,50
54,Dinesh Karthik,KXIP,Holkar Cricket Stadium,12 May 2018,22,3,5,50
55,Robin Uthappa,KKR,M. Chinnaswamy Stadium,10 April 2010,22,4,4,50
56,Paul Valthaty,CSK,IS Bindra Stadium,13 April 2011,23,2,19,120
57,Kumar Sangakkara,MI,IS Bindra Stadium,25 April 2008,23,1,13,94
58,Rahul Tripathi,KKR,Eden Gardens,03 May 2017,23,7,9,93
59,AB de Villiers,SRH,M. Chinnaswamy Stadium,04 May 2014,23,8,6,89
60,Chris Gayle,GL,Saurashtra Cricket Association Stadium,18 April 2017,23,7,5,77
61,Yusuf Pathan,DC,Sardar Patel Stadium,26 March 2010,23,8,2,73
62,Rishabh Pant,RR,Feroz Shah Kotla Ground,02 May 2018,23,5,7,69
63,AB de Villiers,CSK,M. Chinnaswamy Stadium,25 April 2018,23,8,2,68
64,David Miller,RCB,M. Chinnaswamy Stadium,09 May 2014,23,3,8,66
65,Sachin Tendulkar,DD,Feroz Shah Kotla Ground,17 March 2010,23,0,11,63
