Vijay Shankar-V Shankar
Jagadeesha Suchith-J Suchith
Hashim Amla-HM Amla
Kane Williamson-KS Williamson
Paul Collingwood-PD Collingwood
David Warner-DA Warner
MS Dhoni-MS Dhoni
Lendl Simmons-LMP Simmons
Shaun Marsh-SE Marsh
AB de Villiers-AB de Villiers
Michael Hussey-MEK Hussey
Lokesh Rahul-KL Rahul
Virat Kohli-V Kohli
Kevin Pietersen-KP Pietersen
Steve Smith-SPD Smith
Rishabh Pant-RR Pant
David Miller-DA Miller
Chris Lynn-CA Lynn
Sachin Tendulkar-SR Tendulkar
Jos Buttler-JC Buttler
Owais Shah-OA Shah
Brad Hodge-BJ Hodge
Shikhar Dhawan-S Dhawan
Ajinkya Rahane-AM Rahane
Ben Rohrer-BJ Rohrer
David Wiese-D Wiese
Gautam Gambhir-G Gambhir
Subramaniam Badrinath-S Badrinath
Shreyas Iyer-SS Iyer
Faf du Plessis-F du Plessis
James Franklin-JEC Franklin
Ravi Bopara-S Ravi
Ambati Rayudu-AT Rayudu
Travis Head-TM Head
Mahela Jayawardene-DPMD Jayawardene
Robin Uthappa-RV Uthappa
Graeme Smith-GC Smith
Saurabh Tiwary-SS Tiwary
Rahul Dravid-R Dravid
Mark Boucher-MV Boucher
Quinton de Kock-Q de Kock
Sanath Jayasuriya-ST Jayasuriya
Brendon McCullum-BB McCullum
Herschelle Gibbs-HH Gibbs
Salman Butt-Salman Butt
Virender Sehwag-V Sehwag
Luke Pomersbach-LA Pomersbach
Adam Gilchrist-AC Gilchrist
David Hussey-DJ Hussey
Tillakaratne Dilshan-TM Dilshan
Dinesh Karthik-KD Karthik
Suryakumar Yadav-SA Yadav
Sanju Samson-SV Samson
Cameron White-CL White
Aaron Finch-AJ Finch
Murali Vijay-M Vijay
James Hopes-JR Hopes
Kumar Sangakkara-KC Sangakkara
Sourav Ganguly-SC Ganguly
Ross Taylor-LRPL Taylor
Karun Nair-KK Nair
Biplap Samantray-BB Samantray
Andrew McDonald-AB McDonald
George Bailey-GJ Bailey
Corey Anderson-CJ Anderson
Ben Cutting-BCJ Cutting
Wriddhiman Saha-WP Saha
Kedar Jadhav-KM Jadhav
Glenn Maxwell-GJ Maxwell
Ashish Reddy-A Ashish Reddy
