Position,Players,Matches,Innings,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,Centuries,Fifties,Fours,Sixes

1,Chris Gayle,112,111,14,3994,175*,41.17,"2,650",150.71,6,24,324,292
2,AB de Villiers,141,129,29,3953,133*,39.53,"2,619",150.93,3,28,326,186
3,MS Dhoni,175,158,58,4016,79*,40.16,"2,906",138.19,0,20,275,186
4,Suresh Raina,176,172,27,4985,100*,34.37,"3,600",138.47,1,35,448,185
5,Rohit Sharma,173,168,27,4493,109*,31.86,"3,429",131.02,1,34,379,184
6,Virat Kohli,163,155,26,4948,113,38.35,"3,784",130.76,4,34,434,178
7,David Warner,114,114,15,4014,126,40.54,"2,824",142.13,3,36,401,160
8,Shane Watson,117,113,15,3177,117*,32.41,"2,250",141.20,4,16,301,157
9,Yusuf Pathan,164,146,39,3164,100,29.57,"2,196",144.08,1,13,261,157
10,Kieron Pollard,132,121,33,2476,78,28.13,"1,699",145.73,0,13,167,154
11,Robin Uthappa,165,158,15,4086,87,28.57,"3,099",131.84,0,23,401,145
12,Yuvraj Singh,128,122,15,2652,83,24.78,"2,045",129.68,0,12,210,143
13,Brendon McCullum,109,110,6,2881,158*,27.70,"2,189",131.61,2,13,293,130
14,Ambati Rayudu,130,123,20,3018,100*,29.30,"2,317",130.25,1,17,258,113
15,Virender Sehwag,104,104,5,2728,122,27.55,"1,755",155.44,2,16,334,106
16,Dwayne Smith,76,75,4,2103,87*,29.61,"1,567",134.20,0,17,227,100
17,Adam Gilchrist,80,80,4,2069,109*,27.22,"1,495",138.39,2,11,239,92
18,Glenn Maxwell,69,68,7,1397,95,22.90,867,161.13,0,6,109,91
19,Murali Vijay,101,101,5,2523,127,26.28,"2,045",123.37,2,13,237,90
20,Dinesh Karthik,168,150,23,3401,86,26.77,"2,642",128.72,0,16,335,87
21,Shikhar Dhawan,143,142,20,4058,95*,33.26,"3,285",123.53,0,32,460,85
22,David Miller,69,67,21,1637,101*,35.58,"1,169",140.03,1,8,107,80
23,JP Duminy,83,77,26,2029,78*,39.78,"1,636",124.02,0,14,126,79
24,Naman Ojha,113,94,19,1554,94*,20.72,"1,313",118.35,0,6,121,79
25,Shaun Marsh,71,69,7,2477,115,39.95,"1,866",132.74,1,20,266,78
26,Sanju Samson,81,77,7,1867,102,26.67,"1,466",127.35,1,10,142,76
27,Manish Pandey,118,109,20,2499,114*,28.07,"2,090",119.56,1,12,219,69
28,Andre Russell,50,39,6,890,88*,26.96,502,177.29,0,4,65,68
29,Rishabh Pant,38,38,3,1248,128*,35.65,767,162.71,1,8,115,67
30,Aaron Finch,75,74,8,1738,88*,26.33,"1,333",130.38,0,13,176,67
31,Ajinkya Rahane,126,119,15,3427,103*,32.95,"2,848",120.33,1,26,359,65
32,Ravindra Jadeja,154,119,42,1821,48,23.64,"1,484",122.70,0,0,128,61
33,David Hussey,64,61,12,1322,71,26.97,"1,075",122.97,0,5,90,60
34,Gautam Gambhir,154,152,17,4217,93,31.23,"3,404",123.88,0,36,491,59
35,Wriddhiman Saha,115,90,21,1679,115*,24.33,"1,293",129.85,1,6,147,58
36,Dwayne Bravo,122,92,34,1379,70*,23.77,"1,074",128.39,0,5,108,57
37,Lokesh Rahul,53,44,8,1384,95*,38.44,993,139.37,0,10,127,56
38,Albie Morkel,91,68,28,974,73*,24.35,686,141.98,0,3,61,55
39,Shreyas Iyer,46,46,6,1218,96,30.45,938,129.85,0,10,108,53
40,Michael Hussey,59,58,7,1977,116*,38.76,"1,612",122.64,1,15,198,52
41,Jos Buttler,37,37,6,1075,95*,34.67,714,150.56,0,6,102,47
42,Ross Taylor,55,54,14,1017,81*,25.42,822,123.72,0,3,66,46
43,Steve Smith,69,62,16,1703,101,37.02,"1,293",131.70,1,5,150,45
44,Saurabh Tiwary,81,64,19,1276,61,28.35,"1,067",119.58,0,7,93,45
45,Lendl Simmons,29,29,2,1079,100*,39.96,852,126.64,1,11,109,44
46,Matthew Hayden,32,32,2,1107,93,36.90,805,137.51,0,8,121,44
47,Faf du Plessis,59,52,4,1457,73,30.35,"1,141",127.69,0,9,127,44
48,Jacques Kallis,98,96,11,2427,89*,28.55,"2,222",109.22,0,17,255,44
49,Brad Hodge,66,63,21,1400,73,33.33,"1,118",125.22,0,6,122,43
50,Sourav Ganguly,59,56,3,1349,91,25.45,"1,263",106.80,0,7,137,42
51,Chris Lynn,28,28,3,875,93*,35.00,620,141.12,0,6,87,41
52,Andrew Symonds,39,36,9,974,117*,36.07,750,129.86,1,5,74,41
53,Kevin Pietersen,36,36,9,1001,103*,37.07,743,134.72,1,4,91,40
54,Manoj Tiwary,98,85,26,1695,75*,28.72,"1,449",116.97,0,7,156,40
55,Sanath Jayasuriya,30,29,2,748,114*,27.70,521,143.57,1,4,80,39
56,Nitish Rana,32,30,3,741,70,27.44,571,129.77,0,5,57,39
57,Kane Williamson,32,32,5,1146,89,42.44,834,137.41,0,11,99,39
58,Manan Vohra,49,45,2,1012,95,23.53,768,131.77,0,3,97,39
59,Hardik Pandya,50,46,18,666,61*,23.78,480,138.75,0,2,44,39
60,Karun Nair,68,62,4,1459,83*,25.15,"1,133",128.77,0,10,158,39
61,Mahela Jayawardene,80,78,15,1802,110*,28.60,"1,462",123.25,1,10,200,39
62,Parthiv Patel,125,123,11,2475,81,22.09,"2,090",118.42,0,11,317,39
63,Harbhajan Singh,149,86,35,800,64,15.68,583,137.22,0,1,78,39
64,Mayank Agarwal,64,59,3,934,68,16.67,754,123.87,0,3,91,38
65,Venugopal Rao,65,54,10,985,71*,22.38,836,117.82,0,3,77,37
66,Suryakumar Yadav,69,56,14,1124,72,26.76,849,132.39,0,5,116,37
67,Irfan Pathan,103,82,29,1139,60,21.49,946,120.40,0,1,87,37
68,Cameron White,47,45,9,954,78,26.50,755,126.35,0,6,76,36
69,Kedar Jadhav,65,58,20,917,69,24.13,684,134.06,0,3,73,35
70,Sunil Narine,98,48,12,628,75,17.44,372,168.81,0,3,76,35
71,Eoin Morgan,52,45,5,854,66,21.35,705,121.13,0,4,72,34
72,Axar Patel,68,51,15,686,44,19.05,542,126.56,0,0,37,32
73,Corey Anderson,30,29,7,538,95*,24.45,423,127.18,0,3,40,31
74,Herschelle Gibbs,36,36,4,886,69*,27.68,807,109.78,0,6,83,31
75,Stuart Binny,87,63,21,810,48*,19.28,643,125.97,0,0,61,31
76,Ishan Kishan,30,27,0,594,62,22.00,431,137.81,0,3,56,30
77,Krunal Pandya,39,33,10,708,86,30.78,460,153.91,0,1,68,30
